distancia,excluido,frame,grupo_metrica,iou,logical_id,margem_aparencia,novo_track,papel,rotulo,score,score_aparencia,score_papel,tracker_id
0.0,False,1,time1,1.0,5,,,time1,TIME1,0.65,0.0,0.0,1
0.0,False,1,time0,1.0,4,,,time0,TIME0,0.65,0.0,0.0,6
0.0,False,1,time0,1.0,3,,,time0,TIME0,0.65,0.0,0.0,8
0.0,False,1,goleiro_time1,1.0,9,,,goleiro1,GOL-TIME1,0.65,0.0,0.0,9
0.0,False,1,time1,1.0,8,,,time1,TIME1,0.65,0.0,0.0,10
0.0,False,1,time0,0.999999882346574,1,,,time0,TIME0,0.6499999647039721,0.0,0.0,5
0.0,False,1,time1,0.9999998152584341,6,,,time1,TIME1,0.6499999445775302,0.0,0.0,7
0.0,False,1,time1,0.9999995004658156,7,,,time1,TIME1,0.6499998501397447,0.0,0.0,4
0.0,False,1,time0,0.9999994540853162,0,,,time0,TIME0,0.6499998362255949,0.0,0.0,2
0.0,False,1,time0,0.999997834804223,2,,,time0,TIME0,0.6499993504412669,0.0,0.0,3
1.8658506044129238e-05,False,2,time0,0.9985182112343909,0,,,time0,TIME0,0.6495257793834288,0.0,0.0,2
0.0004046938415513737,False,2,time0,0.97895121033468,3,,,time0,TIME0,0.643041531988845,0.0,0.0,8
0.0001870799896215885,False,2,time0,0.9684463586437757,2,,,time0,TIME0,0.6402362803369166,0.0,0.0,3
0.0003157288160685057,False,2,time1,0.9528741547641797,6,,,time1,TIME1,0.6353599505855085,0.0,0.0,7
0.00048690694620073495,False,2,time1,0.9518786747308612,7,,,time1,TIME1,0.6347889777321207,0.0,0.0,4
0.000668459491551399,False,2,time0,0.9474120102589406,4,,,time0,TIME0,0.6331601447956686,0.0,0.0,6
0.00025659095093341134,False,2,goleiro_time1,0.9428841534123927,9,,,goleiro1,GOL-TIME1,0.6324570331472329,0.0,0.0,9
0.0011394299280517934,False,2,time1,0.9148738272656978,5,,,time1,TIME1,0.6226494187487178,0.0,0.0,1
0.0012999512158432852,False,2,time0,0.895298814865672,1,,,time0,TIME0,0.6165215402526781,0.0,0.0,5
0.0016405319445061007,False,2,time1,0.7616723319874612,8,,,time1,TIME1,0.5758917624117968,0.0,0.0,10
0.00015636439126904688,False,3,goleiro_time1,0.9748395658717021,9,,,goleiro1,GOL-TIME1,0.9900640836417335,0.991306717251087,1.0,9
0.00024298493426652055,False,3,time0,0.9758174432413298,3,,,time0,TIME0,0.9847019170829695,0.9702200666855738,1.0,8
1.4018066588426488e-05,False,3,time0,0.9989411898294134,0,,,time0,TIME0,0.9805057126750936,0.9234063674394634,1.0,2
0.00016716374084645548,False,3,time0,0.9833880018443879,2,,,time0,TIME0,0.9687087930694258,0.8957155440112268,1.0,3
0.0004570322749853421,False,3,time1,0.9371116841925836,6,,,time1,TIME1,0.960212813889309,0.9186249129115189,1.0,7
0.0014017625660686824,False,3,time0,0.8702450503794473,1,,,time0,TIME0,0.9496110310602632,0.9605047116717217,1.0,5
0.001333003559994289,False,3,time1,0.9037598243064124,5,,,time1,TIME1,0.9472270844890872,0.9104574220579336,1.0,1
0.0003887521064165806,False,3,time0,0.9665039762150516,4,,,time0,TIME0,0.864843738866143,0.9017575920307369,0.0,6
0.0005557846660287099,False,3,time1,0.9533119593562503,7,,,time1,TIME1,0.8619259081043229,0.906279242493307,0.0,4
0.0013219913881107803,False,3,time1,0.7958117912526135,8,,,time1,TIME1,0.5872148154266446,0.0,0.0,10
0.000128724912323812,False,4,goleiro_time1,0.9787669208371673,9,,,goleiro1,GOL-TIME1,0.9912567581596666,0.991306717251087,1.0,9
2.2104293231218357e-05,False,4,time0,0.9984854300240902,0,,,time0,TIME0,0.9803713733282129,0.9234063674394634,1.0,2
0.0005235421120207265,False,4,time0,0.9534822731922306,3,,,time0,TIME0,0.9778399048364015,0.9702200666855738,1.0,8
0.0001427497627817841,False,4,time0,0.9787731525138833,2,,,time0,TIME0,0.9672284816790649,0.8957155440112268,1.0,3
0.0007075818627060425,False,4,time1,0.9057445592965665,6,,,time1,TIME1,0.9505654517102383,0.9186249129115189,1.0,7
0.0016400412609912972,False,4,time1,0.8928138948490415,5,,,time1,TIME1,0.9436463003169061,0.9104574220579336,1.0,1
0.002206594431314434,False,4,time0,0.7980201617905093,1,,,time0,TIME0,0.9269769586836787,0.9605047116717217,1.0,5
0.00029272957364948033,False,4,time0,0.9799028672046152,4,,,time0,TIME0,0.8689651309476664,0.9017575920307369,0.0,6
0.0014581073603903458,False,4,time1,0.9278954159341039,7,,,time1,TIME1,0.852969318012651,0.906279242493307,0.0,4
9.254356660785636e-05,False,5,goleiro_time1,0.9810719328636822,9,,,goleiro1,GOL-TIME1,0.9919768778614714,0.991306717251087,1.0,9
2.0901011702979404e-05,False,5,time0,0.9985052447530859,0,,,time0,TIME0,0.9803609131320528,0.9234063674394634,1.0,2
0.0005874763679271259,False,5,time0,0.946968855460307,3,,,time0,TIME0,0.9760086372055341,0.9702200666855738,1.0,8
0.0003847189588357698,False,5,time0,0.9651468363312491,2,,,time0,TIME0,0.9629566046213958,0.8957155440112268,1.0,3
0.000968430883197403,False,5,time1,0.8802147825642895,6,,,time1,TIME1,0.9426091843964998,0.9186249129115189,1.0,7
0.0019267903756422437,False,5,time1,0.8850178202555065,5,,,time1,TIME1,0.9411312828439601,0.9104574220579336,1.0,1
0.002423662428273424,False,5,time0,0.7676861795662181,1,,,time0,TIME0,0.917922523002919,0.9605047116717217,1.0,5
