distancia,excluido,frame,grupo_metrica,iou,logical_id,papel,rotulo,score,tracker_id
0.002263714213371016,False,1,goleiro_time0,0.6597628436653699,5,goleiro0,GOL-TIME0,0.7780535484078106,-1
0.0005744831475976329,False,2,goleiro_time0,0.9061233629095492,5,goleiro0,GOL-TIME0,0.9387791167895478,0
0.0033664647369732784,False,2,time0,0.5523061463367915,1,time0,TIME0,0.7078207324609738,2
0.005217951224523163,False,2,time1,0.5284508191297427,4,time1,TIME1,0.6916667495057496,-1
0.005722452614384513,False,2,time1,0.3272504604928215,3,time1,TIME1,0.5607099409052994,1
0.00014356217832512403,False,3,time1,0.9560801751429361,3,time1,TIME1,0.9714018670804947,1
0.00038417493023041465,False,3,goleiro_time0,0.935524010948892,5,goleiro0,GOL-TIME0,0.9579561458911992,0
0.0003939937498623762,False,3,time1,0.933412802350291,4,time1,TIME1,0.9565804237152373,3
0.0007580440354111303,False,3,time0,0.8537222482893803,1,time0,TIME0,0.9046541459757034,2
0.00018561715968603003,False,4,time1,0.9528531645267908,3,time1,TIME1,0.9692895909365239,1
0.00036116546523816417,False,4,goleiro_time0,0.9204110639091783,5,goleiro0,GOL-TIME0,0.9481407836281325,0
0.0006866291388607779,False,4,time0,0.8779063498752078,1,time0,TIME0,0.9203988072202838,2
0.0031877041463238324,False,4,time1,0.7953430756293658,4,time1,TIME1,0.8658573027078744,3
0.0001313179327061275,False,5,time1,0.9617129838640902,3,time1,TIME1,0.9750674782352116,1
0.0002592727656521396,False,5,goleiro_time0,0.9560526995515114,5,goleiro0,GOL-TIME0,0.9713435092405042,0
0.0002823653810042705,False,5,time1,0.9504537512034561,4,time1,TIME1,0.967696110398895,3
0.0008099110889983457,False,5,time0,0.8604625345495535,1,time0,TIME0,0.9090171785760603,2
0.0026814177886394005,False,5,time0,0.728419396030855,0,time0,TIME0,0.8225341111940321,-1
0.0002092973954352959,False,6,time1,0.9656977617717667,4,time1,TIME1,0.977630291063246,3
0.0002595091531456494,False,6,goleiro_time0,0.9547767278368798,5,goleiro0,GOL-TIME0,0.970514044890371,0
0.0005469779318784038,False,6,time0,0.9241739946472621,0,time0,TIME0,0.9505216542445629,-1
0.0005826524294771052,False,6,time1,0.909251584542796,3,time1,TIME1,0.9408096016025005,1
0.0008308761915427018,False,6,time0,0.862674677092506,1,time0,TIME0,0.9104477334430889,2
0.00022589302012988025,False,7,time1,0.955815295973504,4,time1,TIME1,0.9712008798257321,3
0.0008431205005771649,False,7,time0,0.9060849918499919,1,time0,TIME0,0.9386601525272927,2
0.0007275933488290007,False,7,time1,0.8772816597422971,3,time1,TIME1,0.919978421160403,1
0.0010256131675379224,False,7,time0,0.8696116519559911,0,time0,TIME0,0.9148886091627559,4
0.0002941007175033464,False,8,time0,0.9531275235304397,1,time0,TIME0,0.9694299550436597,2
0.00017613177857774977,False,8,time0,0.9492033677977941,0,time0,TIME0,0.9669205429460639,4
0.00023039404702368475,False,8,time1,0.9467258186433658,4,time1,TIME1,0.9652911442017295,3
0.0010636322110374847,False,8,time1,0.8280491155797209,3,time1,TIME1,0.8878596538529555,1
9.702931671574324e-05,False,9,time0,0.9430303720566315,1,time0,TIME0,0.96293578157596,2
0.000899999811184185,False,9,time1,0.8770166164761921,4,time1,TIME1,0.9197458007756105,3
0.0009063044246820815,False,9,time1,0.8459125297965401,3,time1,TIME1,0.8995259378191123,1
0.000989455697745163,False,9,goleiro_time0,0.8110283808788156,5,goleiro0,GOL-TIME0,0.8768221380770194,0
0.00014262220891215067,False,10,time0,0.959178735668624,1,time0,TIME0,0.9734162604114863,2
0.0001843016946118886,False,10,goleiro_time0,0.9431944601954841,5,goleiro0,GOL-TIME0,0.9630118935339504,0
0.00024143330999454928,False,10,time1,0.8947048535596571,4,time1,TIME1,0.931473653155279,3
0.001123838753616679,False,10,time0,0.8514086548097741,0,time0,TIME0,0.9030222820625873,4
0.001449585336319142,False,10,time1,0.758414020286287,3,time1,TIME1,0.8424617583183749,1
0.00030121182353999706,False,11,time0,0.9613782289144185,1,time0,TIME0,0.974790424656133,2
0.000281443015724841,False,11,time0,0.9602234041322133,0,time0,TIME0,0.974046707630435,4
0.00038046061024976744,False,11,goleiro_time0,0.9130130363503955,5,goleiro0,GOL-TIME0,0.9433253124141697,0
0.0009565833520547178,False,11,time1,0.8909208650113789,4,time1,TIME1,0.9287637580841772,3
0.0008569919490212944,False,11,time1,0.8396314888189755,3,time1,TIME1,0.8954605205501767,1
0.00013815778542570047,False,12,time0,0.9728000326641645,0,time0,TIME0,0.9822716660068079,4
8.086353473725181e-05,False,12,goleiro_time0,0.9552271345955665,5,goleiro0,GOL-TIME0,0.9708693352499602,0
0.0005001883771430897,False,12,time0,0.9132402360624415,1,time0,TIME0,0.943431087508587,2
0.0011462120346474288,False,12,time1,0.778779633943903,3,time1,TIME1,0.8558055878514104,1
0.005608980529615015,False,12,time1,0.7073992360596582,4,time1,TIME1,0.8078463602534125,3
0.002503329097542276,False,12,time0,0.5849223430489789,2,time0,TIME0,0.7293233577976965,-1
0.00046680718574819056,False,13,goleiro_time0,0.8998173489469797,5,goleiro0,GOL-TIME0,0.934717894300525,0
0.0007982036806707854,False,13,time1,0.8799522098416004,4,time1,TIME1,0.9216895651088055,3
0.000861816800654035,False,13,time1,0.8263116389931844,3,time1,TIME1,0.886800929465341,1
0.002815175314347814,False,13,time0,0.7772611904098045,2,time0,TIME0,0.8542344624063511,-1
0.00016259785261335443,False,14,time0,0.9666019782958626,2,time0,TIME0,0.9782343766438959,-1
0.00034619796923452583,False,14,goleiro_time0,0.9303907352091912,5,goleiro0,GOL-TIME0,0.9546328085967422,0
0.00035327736753784807,False,14,time1,0.9273249674824308,3,time1,TIME1,0.9526375817849417,1
0.003512969278803437,False,14,time1,0.7814540804716712,4,time1,TIME1,0.8567156130590051,3
2.1731121746903238e-05,False,15,time0,0.9902361139296296,2,time0,TIME0,0.9936458681616479,-1
0.000531248258064111,False,15,goleiro_time0,0.8999534447269935,5,goleiro0,GOL-TIME0,0.9347838021822232,0
0.0016413154552797384,False,15,time0,0.7734242432452606,1,time0,TIME0,0.8521512977000715,2
0.003831179770377902,False,15,time1,0.7616356118535706,4,time1,TIME1,0.8437222347851887,3
7.664662181716298e-05,False,16,time0,0.9827643757329537,2,time0,TIME0,0.9887700179087839,-1
0.00030269873866979174,False,16,time1,0.9521277436776013,4,time1,TIME1,0.9687770888319065,3
0.0005799341889143292,False,16,goleiro_time0,0.8926690452051467,5,goleiro0,GOL-TIME0,0.9300319024172253,0
0.005171682082473421,False,16,time0,0.7384867709501438,1,time0,TIME0,0.8282063123887278,2
0.0002294928625101187,False,17,time0,0.9462008683877271,2,time0,TIME0,0.9649502419501441,-1
0.0005127775141190458,False,17,time0,0.9329810428377775,1,time0,TIME0,0.9562582057146136,2
0.0004502890801200474,False,17,time1,0.9283350767710861,4,time1,TIME1,0.9532601987231639,3
0.0005657149700510541,False,17,goleiro_time0,0.8614518089553019,5,goleiro0,GOL-TIME0,0.9097456755814284,0
0.0013776843728999586,False,17,time1,0.7594675563338463,3,time1,TIME1,0.8431717220864852,1
0.002205058052120647,False,17,time0,0.7331618360954261,0,time0,TIME0,0.8257834231437847,4
6.490208373387515e-05,False,18,time0,0.9803327838342851,2,time0,TIME0,0.9871935937629785,-1
0.0005000154812147967,False,18,time0,0.9331204608896297,0,time0,TIME0,0.9563532941598342,4
0.0002997884253416058,False,18,time1,0.913932622658975,4,time1,TIME1,0.9439512787794642,3
0.0009129944012877578,False,18,goleiro_time0,0.8538604612202335,5,goleiro0,GOL-TIME0,0.904689751752701,0
0.0038269576193402676,False,18,time0,0.7116269599577764,1,time0,TIME0,0.8112180888057856,2
5.785585171961438e-05,False,19,time0,0.9744253200133887,2,time0,TIME0,0.9833562084606008,-1
0.000561520975480615,False,19,time0,0.9278134803323236,0,time0,TIME0,0.952882229874592,4
0.0004317196109764909,False,19,time1,0.9222420553869841,4,time1,TIME1,0.9493062341376979,3
0.0006782445995212859,False,19,time0,0.8856328644616256,1,time0,TIME0,0.9254239762902242,2
0.002001987319891633,False,19,time1,0.7281183112863885,3,time1,TIME1,0.8225762067741904,1
