distancia,excluido,frame,grupo_metrica,iou,logical_id,papel,rotulo,score,score_aparencia,score_papel,tracker_id
0.008861421213597015,False,2,time0,0.6154859384199485,1,time0,TIME0,0.5205480659588984,0.0,0.0,1
0.01393188571754244,False,2,time1,0.3452362303446714,10,time1,TIME1,0.43140650546185666,0.0,0.0,8
0.007553049539893923,False,2,time0,0.3034368631203748,3,time0,TIME0,0.4290148437590085,0.0,0.0,10
0.012954798876808254,False,2,time0,0.20829159949331985,4,time0,TIME0,0.3918775725439828,0.0,0.0,4
0.017601540916713967,False,2,time1,0.05298839360356014,6,time1,TIME1,0.3378940666226594,0.0,0.0,3
0.0291331911984077,False,2,time0,0.0921654426993218,8,time0,TIME0,0.331301374085057,0.0,0.0,7
0.042807304509506726,False,2,time0,0.00033241532511303916,2,time0,TIME0,0.28199719469604595,0.0,0.0,6
0.05544807811261037,False,2,time0,0.0,11,time0,TIME0,0.2617871484572108,0.0,0.0,9
0.000362480676650439,False,3,time0,0.9675468977992597,8,time0,TIME0,0.9545778405691752,0.9386488498386972,1.0,7
2.1091380177723038e-05,False,3,time0,0.9985791157875331,1,time0,TIME0,0.9513402968693028,0.8313663569259226,1.0,1
0.001508867839450587,False,3,time1,0.8902176469281224,10,time1,TIME1,0.9389866671395508,0.9352600944831168,1.0,8
0.0006169751629885507,False,3,time0,0.9409151139213229,2,time0,TIME0,0.9374482381030554,0.9409244736339528,1.0,6
0.0015142278161571644,False,3,time0,0.8575789201063653,11,time0,TIME0,0.8929127771028708,0.8985787894843643,1.0,9
0.000524263526369414,False,3,time0,0.928807526230778,4,time0,TIME0,0.8388761604130228,0.8795562055044128,0.0,4
0.00015112429516063767,False,3,time1,0.9765494579964982,6,time1,TIME1,0.8292941212227672,0.7937908836668575,0.0,3
0.026269226154773846,False,3,time0,0.06344837308802521,3,time0,TIME0,0.6606972969372836,0.9526613137865356,1.0,5
0.46918701500005183,False,3,time0,0.0,5,time0,TIME0,0.32396987060978566,0.8958794824391427,1.0,2
0.00029343546389193017,False,4,time0,0.9755216525255549,8,time0,TIME0,0.9768181432468724,0.9386488498386972,1.0,7
0.0017182622605498678,False,4,time0,0.9231947929571975,2,time0,TIME0,0.9598494247800108,0.9409244736339528,1.0,6
2.7984706404167666e-05,False,4,time0,0.9982837035462945,1,time0,TIME0,0.9572871846116174,0.8313663569259226,1.0,1
0.000634385498866368,False,4,time0,0.9437474951233369,3,time0,TIME0,0.9524302131891443,0.9526613137865356,1.0,5
0.001666628981738936,False,4,time1,0.8903848927422264,10,time1,TIME1,0.9489970153665547,0.9352600944831168,1.0,8
0.002300818044855788,False,4,time0,0.7897934235428076,11,time0,TIME0,0.9089409018375559,0.8985787894843643,1.0,9
0.00013613885257993542,False,4,time1,0.9767905250216898,6,time1,TIME1,0.8412473958541382,0.7937908836668575,0.0,3
0.000753532101057061,False,4,time0,0.8999894655838497,4,time0,TIME0,0.8390423311691257,0.8795562055044128,0.0,4
0.0002529069689120127,False,4,time0,0.9678459996386942,5,time0,TIME0,0.8140937550751103,0.8958794824391427,1.0,2
0.0005853843170483056,False,5,time0,0.9479023551320128,3,time0,TIME0,0.9718087183409968,0.9526613137865356,1.0,5
0.0005966630875536395,False,5,time0,0.9409304385121665,8,time0,TIME0,0.9659737538324273,0.9386488498386972,1.0,7
0.0004608094523765395,False,5,time0,0.9524013627862434,5,time0,TIME0,0.9591294684818493,0.8958794824391427,1.0,2
0.0011329529259493372,False,5,time0,0.9161721251204878,2,time0,TIME0,0.958512127256435,0.9409244736339528,1.0,6
1.854475930697365e-05,False,5,time0,0.9987053900364111,1,time0,TIME0,0.9574101538287138,0.8313663569259226,1.0,1
0.001991348335346306,False,5,time1,0.8809530755928264,10,time1,TIME1,0.9459301642070757,0.9352600944831168,1.0,8
0.002391534022105423,False,5,time0,0.7690158849797117,11,time0,TIME0,0.9027914879219188,0.8985787894843643,1.0,9
0.00011471594109869076,False,5,time0,0.9775700223893463,6,time0,TIME0,0.8414721498654336,0.7937908836668575,0.0,3
0.001029094321530766,False,5,time0,0.8757463548522223,4,time0,TIME0,0.831404764856349,0.8795562055044128,0.0,4
0.0004193268336514909,False,6,time0,0.9550931233718623,3,time0,TIME0,0.9732001450615646,0.9492209815748062,1.0,5
0.0008203781922628461,False,6,time0,0.9470203038428734,2,time0,TIME0,0.968779523025311,0.9429458298137536,1.0,6
0.0003394761073322144,False,6,time0,0.9701507330274223,5,time0,TIME0,0.9670339690198142,0.905735820264697,1.0,2
0.0007487373844540755,False,6,time0,0.9395350490402494,8,time0,TIME0,0.9666138768412764,0.9426590383765481,1.0,7
1.5011262187951548e-05,False,6,time0,0.998271659088395,1,time0,TIME0,0.9572913763668112,0.8313544814147873,1.0,1
