<<<<<<< HEAD
﻿frame,logical_id,score,time,tracker_id
1,15,0.9841074376150818,2,-1
2,15,0.9992993488119848,2,2
2,1,0.9667311820129056,1,-1
2,2,0.9422479531995226,1,3
2,17,0.9319769854741243,2,1
2,16,0.5489769979915873,2,4
2,0,0.2515298202633858,1,0
3,0,0.967145271627887,1,0
3,17,0.9513931274056615,2,1
3,11,0.929947083312909,2,-1
3,2,0.8520114238873776,1,3
3,16,0.8403962956726334,2,4
3,15,0.7621322659521321,2,2
4,0,0.965470049602055,1,0
4,17,0.9578976744109367,2,1
4,11,0.954907892434093,2,-1
4,2,0.9032438578324956,1,3
4,16,0.8884455018625673,2,4
4,15,0.8166355967914263,2,2
5,0,0.9669400369302377,1,0
5,17,0.9359234148698894,2,1
5,2,0.900350286592466,1,3
5,10,0.8907874077843523,2,-1
5,15,0.7466599604593913,2,2
5,16,0.7325677161180817,2,4
5,1,0.6063635958120817,1,5
6,10,0.9715476488560852,2,-1
6,0,0.9673654244933416,1,0
6,17,0.950862009498152,2,1
6,16,0.9197012878530549,2,4
6,2,0.8792875012779384,1,3
6,1,0.8128237455544386,1,5
6,15,0.7567274801315333,2,2
7,2,0.9781642983236641,1,3
7,17,0.9743524243584374,2,1
7,0,0.9636487147627932,1,0
7,10,0.9583882500697793,2,-1
7,1,0.7831695146310238,1,5
7,16,0.7596154013840661,2,4
7,15,0.7516887029139274,2,2
8,17,0.9630375865162724,2,1
8,0,0.9625166178897484,1,0
8,2,0.9209810642378236,1,3
8,10,0.8953532849060475,2,-1
8,16,0.8579997431330546,2,4
8,1,0.8261451091752142,1,5
8,15,0.727677599681112,2,2
8,8,0.708278178716619,1,6
9,17,0.9837266344780554,2,1
9,0,0.973908275375302,1,0
9,10,0.9454688783381925,2,-1
9,8,0.9069410275288133,1,6
9,2,0.8975558664300547,1,3
9,16,0.8870081091862452,2,4
9,1,0.8148571850940092,1,5
9,15,0.760462566178828,2,2
9,11,0.35830333390825236,2,7
10,0,0.9806883986709246,1,0
10,17,0.9353797297809037,2,1
10,10,0.934450462631456,2,-1
10,8,0.9253937562759988,1,6
10,2,0.8743780546706519,1,3
10,11,0.864232205324647,2,7
10,16,0.838745623268961,2,4
10,1,0.8081762630705152,1,5
10,15,0.8081314036411558,2,2
11,0,0.9806007302973705,1,0
11,8,0.9688551669928878,1,6
11,10,0.9653304674504277,2,-1
11,17,0.9549049053016843,2,1
11,11,0.8955663358606076,2,7
11,2,0.8443393773034417,1,3
11,1,0.8146058895845916,1,5
11,16,0.8131616543084823,2,4
11,15,0.7877873117076298,2,2
11,9,0.7731984308757388,2,8
12,0,0.9765798697168178,1,0
12,8,0.9642952431759866,1,6
12,17,0.9552176150234504,2,1
12,9,0.9524143430668184,2,8
12,10,0.931676188405498,2,-1
12,2,0.8874145670423977,1,3
12,11,0.8495853840134525,2,7
12,1,0.807933547968022,1,5
12,15,0.7581763276069207,2,2
12,16,0.6985493858347264,2,4
13,0,0.98148707923845,1,0
13,11,0.9600661836210487,2,7
13,17,0.9575863500564628,2,1
13,9,0.9562752765938454,2,8
13,10,0.9531889771885345,2,-1
13,8,0.9199938724471677,1,6
13,2,0.8808629427036412,1,3
13,1,0.8678284667838294,1,5
13,16,0.822126122131027,2,4
13,15,0.744776518786617,2,2
14,0,0.9861526402766592,1,0
14,10,0.9733664651562647,2,-1
14,17,0.9652005369106309,2,1
14,9,0.9510305155710155,2,8
14,2,0.9330963890134105,1,3
14,8,0.8948284662223159,1,6
14,16,0.8914913825125297,2,4
14,11,0.891012062226538,2,7
14,1,0.8386587711597857,1,5
14,15,0.7487966091345502,2,2
14,14,0.6998230781975101,2,9
15,10,0.982698308457155,2,-1
15,0,0.9781027758827365,1,0
15,17,0.9728428520715151,2,1
15,14,0.9642138642057381,2,9
15,9,0.948241254203275,2,8
15,8,0.9409506862207176,1,6
15,2,0.9200172137224019,1,3
15,11,0.9164934119701318,2,7
15,1,0.8627326542323948,1,5
15,16,0.8270038195867485,2,4
15,15,0.7945106055521856,2,2
16,0,0.9862618184240983,1,0
16,2,0.9619571302782023,1,3
16,10,0.9524901319207006,2,-1
16,17,0.9429549453031473,2,1
16,8,0.9281742937152117,1,6
16,11,0.9261468749963924,2,7
16,14,0.9162349873004261,2,9
16,9,0.8969951204395781,2,8
16,15,0.8388008372368583,2,2
16,16,0.8042294033614632,2,4
16,1,0.7984927044452204,1,5
17,0,0.9898253338589038,1,0
17,10,0.9580252181837443,2,-1
17,14,0.9561798702709958,2,9
17,11,0.931579162842705,2,7
17,17,0.9280543455133081,2,1
17,9,0.9042793262120138,2,8
17,8,0.9015166354939735,1,6
17,2,0.8991575839449455,1,3
17,15,0.8516020681001899,2,2
17,1,0.8177581024103671,1,5
17,16,0.79566408442448,2,4
18,0,0.9749125068420251,1,0
18,8,0.9419008882214521,1,6
18,9,0.9313528230549111,2,8
18,14,0.9102542459112144,2,9
18,10,0.9057614373246954,2,-1
18,2,0.8944016287361698,1,3
18,11,0.8897264215988405,2,7
18,17,0.8862572251757339,2,1
18,1,0.8495541438841647,1,5
18,15,0.8360414267425109,2,2
18,16,0.7705692678506353,2,4
18,7,0.34393555475398896,1,10
19,0,0.9844154120024743,1,0
19,10,0.9734589656041639,2,-1
19,14,0.9679041895054721,2,9
19,9,0.9465027542922702,2,8
19,7,0.9356270435358814,1,10
19,2,0.917762287578835,1,3
19,11,0.9025807342462085,2,7
19,8,0.8966892463896085,1,6
19,15,0.883369785465004,2,2
19,17,0.8784935300166062,2,1
19,1,0.8266648703613727,1,5
19,16,0.811695956450826,2,4
20,0,0.9834994181619604,1,0
20,2,0.9681305278312984,1,3
20,14,0.9453800536113102,2,9
20,7,0.9377930433382891,1,10
20,11,0.9364534572457943,2,7
20,8,0.9327464251860162,1,6
20,9,0.8950030117284966,2,8
20,1,0.8629087243640635,1,5
20,17,0.8588100890080581,2,1
20,15,0.8480805415481005,2,2
20,16,0.6802291722906965,2,4
20,13,0.6752597958974611,2,-1
21,2,0.9837634479641912,1,3
21,9,0.9826424968442432,2,8
21,13,0.9759779093533567,2,-1
21,0,0.9754123078654717,1,0
21,11,0.9640280548868637,2,7
21,7,0.9340715417705754,1,10
21,14,0.9312578455797407,2,9
21,8,0.8783736872153844,1,6
21,17,0.8377384529844654,2,1
21,1,0.8350804631810339,1,5
21,16,0.8257575654665139,2,4
21,15,0.8024685776198884,2,2
22,0,0.9898506241680654,1,0
22,13,0.9762327110308817,2,-1
22,11,0.958988275213956,2,7
22,7,0.9562643117173639,1,10
22,14,0.9363112260530099,2,9
22,9,0.8979096181133588,2,8
22,2,0.8959172597851526,1,3
22,8,0.888052129610898,1,6
22,17,0.8876505131641756,2,1
22,16,0.8777098651094946,2,4
22,1,0.8491285809703643,1,5
22,15,0.7682446064237931,2,2
23,11,0.9853346475001403,2,7
23,0,0.9848861732064396,1,0
23,13,0.9804108621876884,2,-1
23,7,0.9768837600557791,1,10
23,9,0.9317939398600299,2,8
23,17,0.9229902892890056,2,1
23,8,0.9180464313354042,1,6
23,14,0.8677134927529359,2,9
23,16,0.8311807347586775,2,4
23,1,0.8119833574593223,1,5
23,15,0.8061290139740904,2,2
24,0,0.9868250991224568,1,0
24,11,0.9821837046848134,2,7
24,7,0.9706324633252226,1,10
24,13,0.9596008122313091,2,-1
24,9,0.9102692486895401,2,8
24,14,0.8954410104926013,2,9
24,1,0.8860937581673473,1,5
24,8,0.8812899620349256,1,6
24,17,0.8741986876787053,2,1
24,2,0.8290447666045175,1,3
24,16,0.8001524048790126,2,4
24,15,0.7560494109057526,2,2
