distancia,excluido,frame,grupo_metrica,iou,logical_id,papel,rotulo,score,score_aparencia,score_papel,tracker_id
1.1184743970152048e-05,False,2,time0,0.9982230568136388,0,time0,TIME0,0.64944912313323,0.0,0.0,9
1.880058385239863e-05,False,2,time0,0.9971272312890561,6,time0,TIME0,0.6491082593669517,0.0,0.0,20
1.9480920198404495e-05,False,2,time1,0.9966987892334902,10,time1,TIME1,0.6489786351544882,0.0,0.0,11
2.8292318344898344e-05,False,2,time0,0.9967359789543512,2,time0,TIME0,0.6489757831798475,0.0,0.0,17
3.8507349357135895e-05,False,2,time1,0.9964411781047562,15,time1,TIME1,0.6488710917392677,0.0,0.0,5
4.050680350816264e-05,False,2,time1,0.9951524225830436,11,time1,TIME1,0.6484812841329683,0.0,0.0,19
0.00010292848385033941,False,3,time1,0.9853006015484165,14,time1,TIME1,0.9921321963662112,0.9868161161640849,1.0,8
0.00023386068310236175,False,3,time1,0.963683737420152,16,time1,TIME1,0.9862028845847822,0.9898866664056958,1.0,12
0.0003881198102459557,False,3,time1,0.9482472448944471,18,time1,TIME1,0.9831009419179354,0.9969733262078195,1.0,14
0.00025671787656715507,False,3,time1,0.9475568626102396,10,time1,TIME1,0.9798840953274471,0.9841443450220484,1.0,11
0.0003897453025445679,False,3,time1,0.9440641297937781,19,time1,TIME1,0.979852498204905,0.9890140395973526,1.0,7
0.00028494328567595366,False,3,time1,0.9329361172770203,17,time1,TIME1,0.9768516585771548,0.9896972249724116,1.0,4
0.00041986534257462823,False,3,time0,0.9117677435552192,4,time0,TIME0,0.9690173854659548,0.9846160559826733,1.0,16
0.0004683038550222966,False,3,time0,0.8986882207562271,3,time0,TIME0,0.9651897198958855,0.9853120769499466,1.0,3
0.000890755493403156,False,3,time1,0.8600298165832491,15,time1,TIME1,0.9552810677121247,0.994706193178758,1.0,5
0.0009647096027351355,False,3,time0,0.8352019942207852,9,time0,TIME0,0.9455266978538265,0.9860108924339516,1.0,6
0.0012280632737332554,False,3,time1,0.8122236054068982,13,time1,TIME1,0.9393088194761133,0.990382729540275,1.0,2
0.0012376729322453918,False,3,time0,0.7938548076788355,0,time0,TIME0,0.9309316072137735,0.9789674398250632,1.0,9
0.001416945067561553,False,3,time0,0.7636828669008975,7,time0,TIME0,0.9224272852687047,0.982302661881732,1.0,13
