<<<<<<< HEAD
﻿cobertura_no_periodo,frames_vistos,logical_id,media_score_associacao,presenca_no_video,primeiro_frame,tempo_visto_segundos,time_referencia,tracker_ids,trocas_de_tracker_id,ultimo_frame
1.0,746,0,0.9185783558215802,0.9946666666666667,5,29.84,1,"5,15,22",2,750
0.9439252336448598,707,1,0.9432849246280173,0.9426666666666667,2,28.28,1,"-1,0,16,17",3,750
0.9973297730307076,747,2,0.8719376368857737,0.996,2,29.88,1,"3,7,17,19,20,24",5,750
0.9853137516688919,738,3,0.8759186750147946,0.984,2,29.52,1,"4,6,11,17,23",4,750
0.9986072423398329,717,4,0.9042263858924926,0.956,33,28.68,1,"-1,3,11,14,17,21,25",6,750
0.9505247376311844,634,5,0.8977121664204548,0.8453333333333334,84,25.36,1,"-1,7,19,27",3,750
0.9935483870967742,616,6,0.8840658639053699,0.8213333333333334,131,24.64,1,"-1,4,8,10,14,16,19,20,24,25",9,750
0.9865410497981157,733,7,0.8983597867425399,0.9773333333333334,8,29.32,1,"-1,4,6,10,16,17,18,28",7,750
0.9773030707610146,732,8,0.9034014890454193,0.976,2,29.28,2,"2,4,11,16,17",4,750
0.9986522911051213,741,9,0.9018261373999449,0.988,9,29.64,2,"7,14,20,21",3,750
0.9371657754010695,701,10,0.9135156329498484,0.9346666666666666,3,28.04,2,"-1,13",1,750
1.0,696,11,0.9331444739184023,0.928,55,27.84,2,12,0,750
0.9890560875512996,723,12,0.9103132497846784,0.964,20,28.92,2,"-1,4,8,10,14,16,17,20,21,23",9,750
0.9389416553595658,692,13,0.9152750381260656,0.9226666666666666,14,27.68,2,"9,11,15,29",3,750
0.976,732,14,0.9081359046346896,0.976,1,29.28,2,"-1,3,4,10",3,750
0.9891891891891892,732,15,0.8925318274404356,0.976,11,29.28,2,"-1,1,4,6,8,10,11,14,16,17,19,25,26",12,750
0.9973297730307076,747,16,0.9032150840017437,0.996,2,29.88,2,"1,11,14,17,26",4,750
=======
﻿cobertura_no_periodo,frames_vistos,logical_id,media_score_associacao,presenca_no_video,primeiro_frame,tempo_visto_segundos,time_referencia,tracker_ids,trocas_de_tracker_id,ultimo_frame
1.0,746,0,0.9185783558215802,0.9946666666666667,5,29.84,1,"5,15,22",2,750
0.9439252336448598,707,1,0.9432849246280173,0.9426666666666667,2,28.28,1,"-1,0,16,17",3,750
0.9973297730307076,747,2,0.8719376368857737,0.996,2,29.88,1,"3,7,17,19,20,24",5,750
0.9853137516688919,738,3,0.8759186750147946,0.984,2,29.52,1,"4,6,11,17,23",4,750
0.9986072423398329,717,4,0.9042263858924926,0.956,33,28.68,1,"-1,3,11,14,17,21,25",6,750
0.9505247376311844,634,5,0.8977121664204548,0.8453333333333334,84,25.36,1,"-1,7,19,27",3,750
0.9935483870967742,616,6,0.8840658639053699,0.8213333333333334,131,24.64,1,"-1,4,8,10,14,16,19,20,24,25",9,750
0.9865410497981157,733,7,0.8983597867425399,0.9773333333333334,8,29.32,1,"-1,4,6,10,16,17,18,28",7,750
0.9773030707610146,732,8,0.9034014890454193,0.976,2,29.28,2,"2,4,11,16,17",4,750
0.9986522911051213,741,9,0.9018261373999449,0.988,9,29.64,2,"7,14,20,21",3,750
0.9371657754010695,701,10,0.9135156329498484,0.9346666666666666,3,28.04,2,"-1,13",1,750
1.0,696,11,0.9331444739184023,0.928,55,27.84,2,12,0,750
0.9890560875512996,723,12,0.9103132497846784,0.964,20,28.92,2,"-1,4,8,10,14,16,17,20,21,23",9,750
0.9389416553595658,692,13,0.9152750381260656,0.9226666666666666,14,27.68,2,"9,11,15,29",3,750
0.976,732,14,0.9081359046346896,0.976,1,29.28,2,"-1,3,4,10",3,750
0.9891891891891892,732,15,0.8925318274404356,0.976,11,29.28,2,"-1,1,4,6,8,10,11,14,16,17,19,25,26",12,750
0.9973297730307076,747,16,0.9032150840017437,0.996,2,29.88,2,"1,11,14,17,26",4,750
>>>>>>> 4dc20829d235225851d5c4a93b2901c22a9453e9
