<<<<<<< HEAD
﻿distancia,excluido,frame,grupo_metrica,iou,logical_id,papel,rotulo,score,tracker_id
1.2835764481944264e-05,False,3,time0,0.999050159465384,0,time0,TIME0,0.9993781111349309,2
0.0003586926678975366,False,3,time0,0.9745177367735199,3,time0,TIME0,0.9833109864690238,8
0.00035618362227616803,False,3,time0,0.9654065938439002,2,time0,TIME0,0.9773896217307384,3
0.0004250888897828587,False,3,goleiro_time1,0.9197662563585743,9,goleiro1,GOL-TIME1,0.9476992855216493,9
0.0010663054012527476,False,3,time0,0.9154117306510511,4,time0,TIME0,0.9446444180327447,6
0.0010264625289321365,False,3,time1,0.9126467334279178,8,time1,TIME1,0.9428611148430203,4
0.0007361306940769489,False,3,time1,0.8993126019022284,6,time1,TIME1,0.9342955454935216,7
0.0024529372399066172,False,3,time1,0.8279587520079618,5,time1,TIME1,0.8873146607712079,1
0.002637818184074042,False,3,time0,0.7863209328139107,1,time0,TIME0,0.860185369964616,5
0.00292246718139881,False,3,time1,0.6086209467049355,7,time1,TIME1,0.7445807518447185,10
2.4934164039950225e-05,False,4,time0,0.998639127745928,0,time0,TIME0,0.9991067060774392,2
0.000291445156787814,False,4,time0,0.9782683872622182,4,time0,TIME0,0.9857724459155661,6
0.00014608130700569105,False,4,time0,0.9778181548039695,2,time0,TIME0,0.9855306721651282,3
0.0001283240885252612,False,4,goleiro_time1,0.9777038865799463,9,goleiro1,GOL-TIME1,0.9854626128459814,9
0.0005234906693941745,False,4,time0,0.9576978983330814,3,time0,TIME0,0.9723204121822149,8
0.0014592552310692068,False,4,time1,0.9290757301552862,8,time1,TIME1,0.9533884852700618,4
0.0007103471321788912,False,4,time1,0.9020710916947461,6,time1,TIME1,0.9360975881053224,7
0.0016539400034522756,False,4,time1,0.8786600862598617,5,time1,TIME1,0.9205501770677018,1
0.0021884028168874053,False,4,time0,0.8063921967412037,1,time0,TIME0,0.8733889868958717,5
0.0028569162876840226,False,4,time1,0.6079769607347577,7,time1,TIME1,0.7441851037769032,10
1.4142857129100354e-05,False,5,time0,0.9989784602894333,0,time0,TIME0,0.9993310491881364,2
8.66602854704275e-05,False,5,goleiro_time1,0.9808837597140455,9,goleiro1,GOL-TIME1,0.987544112714215,9
0.0003930118501428494,False,5,time0,0.9635347850903223,2,time0,TIME0,0.9761600561611595,3
0.00044025766647766564,False,5,time0,0.960564105203062,4,time0,TIME0,0.9742125781987231,6
