<<<<<<< HEAD
﻿frame,logical_id,score,time,tracker_id
1,16,1.0,2,-1
2,10,0.9997398311440565,2,0
2,15,0.9996719756468184,2,1
2,7,0.9996534151152636,1,14
2,6,0.9995202150398541,1,3
2,2,0.9994627728989892,1,2
2,3,0.9994386188618224,1,13
2,9,0.9994000225163168,2,11
2,14,0.9992889356642375,2,-1
2,0,0.9989962602193168,1,9
2,13,0.9989952323523041,2,12
2,1,0.9986054810966413,1,6
2,11,0.9980559382824234,2,5
2,17,0.9974270542356342,2,4
2,12,0.9929888029786498,2,15
2,5,0.34070662101730703,1,8
2,8,0.29241154491901394,1,10
2,16,0.26852500438690186,2,7
3,17,0.9809047849624006,2,4
3,10,0.9798248425109153,2,0
3,11,0.9793283575093563,2,5
3,8,0.9723587874964106,1,10
3,16,0.9686273280463689,2,7
3,14,0.9680826440637956,2,-1
3,13,0.9632558747574056,2,12
3,9,0.9527485513961438,2,11
3,3,0.9464863087159048,1,13
3,2,0.9394364410018301,1,2
3,12,0.9121395235993173,2,15
3,5,0.8895894757062698,1,8
3,0,0.8723609527970821,1,9
3,6,0.8688044794399563,1,3
3,7,0.868793384408133,1,14
3,1,0.8329354675901447,1,6
3,15,0.6694488489941828,2,1
4,11,0.985275081899653,2,5
4,13,0.9712404076978582,2,12
4,17,0.9636970570635726,2,4
4,16,0.9613200652976346,2,7
4,10,0.9592358153429146,2,0
4,8,0.9541609932344163,1,10
4,3,0.9494536969911994,1,13
4,9,0.9491553108931027,2,11
4,15,0.906921228206458,2,1
4,6,0.8929110463938186,1,3
4,5,0.8926169371399261,1,8
4,12,0.8843651226383845,2,15
4,14,0.8800477100031923,2,-1
4,0,0.8474968357941411,1,9
4,1,0.8400068903804583,1,6
4,2,0.811343897772596,1,2
4,7,0.7965249452878962,1,14
4,4,0.3061287678778171,1,16
5,9,0.9792595796655628,2,11
5,16,0.9755623913942377,1,7
5,10,0.9618373660141757,2,0
5,17,0.9483755247338693,2,4
5,5,0.934692850254536,1,8
5,14,0.9276990041843198,2,18
5,13,0.92539999193309,2,12
5,6,0.9227566374014153,1,3
5,3,0.9189666509739741,1,13
5,11,0.8874367318738458,2,5
5,7,0.8792331919751057,1,14
5,8,0.8601163271282724,1,10
5,12,0.8573341058485588,2,15
5,4,0.8524363540102073,1,16
5,2,0.8514604044782424,1,2
5,0,0.8496059633002893,1,9
5,1,0.8310587186097114,1,6
5,15,0.7580044888698991,2,1
6,16,0.980364541456241,1,7
6,14,0.9697137100670083,2,18
6,3,0.9683991557970499,1,13
6,17,0.9621550251804418,2,4
6,10,0.9610956097721273,2,0
6,13,0.9430196904745936,2,12
6,8,0.9351588295544088,1,10
6,11,0.9342664138907751,2,5
6,6,0.8986753960933751,1,3
6,2,0.8910591023302956,1,2
6,5,0.8862920534523789,1,8
6,0,0.8735679614434357,1,9
6,4,0.8614459983831391,1,16
6,12,0.86069743747783,2,15
6,7,0.8103708144163455,1,14
6,1,0.7830586075147885,1,6
6,15,0.7548071382374236,2,1
6,9,0.3865635291619004,2,-1
7,17,0.9753465946240617,2,4
7,16,0.9741271188288871,1,7
7,14,0.9655293985819019,2,18
7,13,0.9651207696736105,2,12
7,2,0.9336499290021685,1,2
7,8,0.9240670462240919,1,10
7,12,0.9221283297874234,2,15
7,9,0.9104455887800355,2,19
7,11,0.909981036592564,2,5
7,6,0.9057771613208205,1,3
7,4,0.9028293057066559,1,16
7,5,0.8971560457491816,1,8
7,0,0.854759780263177,1,9
7,7,0.8358260157236126,1,14
7,1,0.7901408256984135,1,6
7,15,0.753751507351432,2,1
7,10,0.33591654598712917,2,11
7,3,0.3264846947044134,1,-1
8,16,0.9845948755104891,1,7
8,17,0.9767194609930764,2,4
8,14,0.965242461580574,2,18
8,13,0.947908001889402,2,12
