<<<<<<< HEAD
﻿distancia,frame,iou,logical_id,score,time,tracker_id
0.0,1,1.0,2,1.0,1,-1
2.3666483048396873e-06,2,0.9996010145706734,11,0.999739831144031,2,0
4.029292343207867e-06,2,0.9994975167677668,12,0.9996719756467283,2,1
5.64189100913941e-06,2,0.9994698304262029,8,0.9996534151151786,1,14
5.663975234017743e-06,2,0.9992649191248384,7,0.999520215039813,1,3
6.590745351761165e-06,2,0.9991770456304839,3,0.9994627728989414,1,2
1.0196081625260948e-05,2,0.999141826908145,4,0.9994386188617255,1,13
5.647263144704794e-06,2,0.9990799985514149,10,0.9994000225163191,2,11
5.5806701403987385e-06,2,0.9989090598441843,16,0.9992889356641705,2,-1
8.914350197222678e-06,2,0.9984605849871757,0,0.9989962602190952,1,9
4.45932741954967e-06,2,0.998456604795061,15,0.9989952323521929,2,12
8.066487099100725e-06,2,0.9978589297954017,1,0.9986054810965264,1,6
2.1511275438023756e-05,2,0.9970207188128586,13,0.9980559382819547,2,5
2.115392843787328e-05,2,0.9960530124776844,17,0.9974270542355417,2,4
5.7129590315425456e-05,2,0.9892443051307571,14,0.9929888029783818,2,15
0.02655251139826046,2,0.0,6,0.34070662101060883,1,8
0.1645384454075915,2,0.0,9,0.29241154410734294,1,10
0.21338277225148924,2,0.0,2,0.2753160297119787,1,7
0.0001773294642195185,3,0.9707182311921893,17,0.9809047849624462,2,4
0.00022358760749072347,3,0.9690816894946823,11,0.9798248425089218,2,0
0.0002515386829818439,3,0.968332916992262,13,0.9793283575059266,2,5
0.00035729476609889957,3,0.9576674471655134,9,0.9723587874894492,1,10
0.0007080432973165449,3,0.9521156049167014,2,0.9686273280417951,1,7
0.0002471934754994711,3,0.951029479659614,16,0.9680826440623242,2,-1
0.00018561820054522276,3,0.9435705248068746,15,0.9632558747542777,2,12
0.00043824718310867797,3,0.9275414429301656,10,0.9527485513905196,2,11
0.0003817714180920376,3,0.9178768134027832,4,0.9464863087154768,1,13
0.000626848014289183,3,0.9071628273987692,3,0.9394364410041987,1,2
0.000876523155148139,3,0.8653020103088036,14,0.9121395235964205,2,15
0.0008763178446154492,3,0.8306095183895812,6,0.8895894757076124,1,8
0.0012142029187680932,3,0.8042860366031054,0,0.8723609527704497,1,9
0.0012219195427376486,3,0.7988186942800007,7,0.8688044794420423,1,3
0.0009323974912611647,3,0.7986457285100838,8,0.868793384409613,1,14
0.0019950302610155057,3,0.7440518895444028,1,0.8329354676125065,1,6
0.006682940309597406,3,0.4950582739950292,12,0.6694488489884098,2,1
0.00010289367467792173,4,0.9774016841321158,13,0.985275081899738,2,5
0.00015997728793448146,4,0.9558406149938533,15,0.9712404076952277,2,12
0.0004921753442091433,4,0.9444143360514659,17,0.9636970570629797,2,4
0.0009934061058983175,4,0.9410273191006586,2,0.9613200652783638,1,7
0.00045629427115057724,4,0.937531566661411,11,0.9592358153350145,2,0
0.0005537607115235251,4,0.9297766299562583,9,0.9541609932225347,1,10
0.0003126085282114423,4,0.9224047845747986,4,0.949453696988745,1,13
0.0005703757126025616,4,0.9220845267536937,10,0.94915531089049,2,11
0.001223862470878316,4,0.8574608923813222,12,0.9069212281830519,2,1
0.0009232906649761641,4,0.8357449201682831,7,0.8929110463766423,1,3
0.0008044959560554891,4,0.8352284780288582,6,0.8926169371341384,1,8
0.0009674579715633503,4,0.8226211275699014,14,0.8843651226303888,2,15
0.0003895477303898894,4,0.8156677718582,16,0.8800477100021935,2,-1
0.0014541345217638651,4,0.7661627428603711,0,0.8474968357766239,1,9
0.002014283345507464,4,0.75494136852883,1,0.840006890372812,1,6
0.0021360832508230763,4,0.7109100413123528,3,0.8113438977152412,1,2
0.0018174731234331357,4,0.6879400936473675,8,0.7965249452775873,1,14
0.020590068412498917,4,0.09125375989583183,18,0.4021084199879161,2,17
0.12534637776672908,4,0.0,5,0.30612876778164483,1,16
8.899347112459152e-05,5,0.9681395805832129,10,0.9792595796641947,2,11
0.0005965226637264329,5,0.9627248835690115,2,0.9755623913875533,1,7
0.0003983699954107495,5,0.9415027623142426,11,0.9618373660058639,2,0
0.0005783725957309994,5,0.9208891617407549,17,0.9483755247229848,2,4
0.0003657994329341097,5,0.8997244308427755,6,0.9346928502462771,1,8
0.0006895248717048701,5,0.8891389813653554,16,0.9276990041823843,2,18
0.00048280124625283143,5,0.8854907267140529,15,0.9253999919279459,2,12
0.0008544619052706064,5,0.8816241523890359,7,0.9227566373860285,1,3
0.00042884941004481427,5,0.8755642280955496,4,0.9189666509685915,1,13
0.0020776233223927295,5,0.8279444615669291,13,0.8874367318556665,2,5
0.0010489849766690958,5,0.814769748774131,8,0.879233191961351,1,14
0.001679165255581887,5,0.785698515290168,9,0.8601163270991554,1,10
0.0012910005302747473,5,0.7812091631223672,14,0.8573341058439425,2,15
0.0015833015794043015,5,0.7738315531734373,5,0.8524363540099427,1,16
0.0015292655139279314,5,0.7723009959661987,3,0.8514604044481544,1,2
