distancia,excluido,frame,grupo_metrica,iou,logical_id,margem_aparencia,novo_track,papel,rotulo,score,score_aparencia,score_papel,tracker_id
0.0,False,1,time1,1.0,5,,,time1,TIME1,0.65,0.0,0.0,1
0.0,False,1,time0,1.0,4,,,time0,TIME0,0.65,0.0,0.0,6
0.0,False,1,time0,1.0,3,,,time0,TIME0,0.65,0.0,0.0,8
0.0,False,1,goleiro_time1,1.0,9,,,goleiro1,GOL-TIME1,0.65,0.0,0.0,9
0.0,False,1,time1,1.0,7,,,time1,TIME1,0.65,0.0,0.0,10
0.0,False,1,time0,0.999999882346574,1,,,time0,TIME0,0.6499999647039721,0.0,0.0,5
0.0,False,1,time1,0.9999998152584341,6,,,time1,TIME1,0.6499999445775302,0.0,0.0,7
0.0,False,1,time1,0.9999995004658156,8,,,time1,TIME1,0.6499998501397447,0.0,0.0,4
0.0,False,1,time0,0.9999994540853162,0,,,time0,TIME0,0.6499998362255949,0.0,0.0,2
0.0,False,1,time0,0.999997834804223,2,,,time0,TIME0,0.6499993504412669,0.0,0.0,3
1.8658506044129238e-05,False,2,time0,0.9985182112343909,0,,,time0,TIME0,0.6495257793834288,0.0,0.0,2
0.0004046938415513737,False,2,time0,0.97895121033468,3,,,time0,TIME0,0.643041531988845,0.0,0.0,8
0.0001870799896215885,False,2,time0,0.9684463586437757,2,,,time0,TIME0,0.6402362803369166,0.0,0.0,3
0.0003157288160685057,False,2,time1,0.9528741547641797,6,,,time1,TIME1,0.6353599505855085,0.0,0.0,7
0.00048690694620073495,False,2,time1,0.9518786747308612,8,,,time1,TIME1,0.6347889777321207,0.0,0.0,4
0.000668459491551399,False,2,time0,0.9474120102589406,4,,,time0,TIME0,0.6331601447956686,0.0,0.0,6
0.00025659095093341134,False,2,goleiro_time1,0.9428841534123927,9,,,goleiro1,GOL-TIME1,0.6324570331472329,0.0,0.0,9
0.0011394299280517934,False,2,time1,0.9148738272656978,5,,,time1,TIME1,0.6226494187487178,0.0,0.0,1
0.0012999512158432852,False,2,time0,0.895298814865672,1,,,time0,TIME0,0.6165215402526781,0.0,0.0,5
0.0016405319445061007,False,2,time1,0.7616723319874612,7,,,time1,TIME1,0.5758917624117968,0.0,0.0,10
1.4018066588426488e-05,False,3,time0,0.9989411898294134,0,,,time0,TIME0,0.9974113602166229,0.9910289576055809,1.0,2
0.00015636439126904688,False,3,goleiro_time1,0.9748395658717021,9,,,goleiro1,GOL-TIME1,0.9900640836417335,0.991306717251087,1.0,9
0.0005557846660287099,False,3,time1,0.9533119593562503,8,,,time1,TIME1,0.9831680767983971,0.991247917269604,1.0,4
0.00016716374084645548,False,3,time0,0.9833880018443879,2,,,time0,TIME0,0.9782758132989521,0.9339836249293321,1.0,3
0.0004570322749853421,False,3,time1,0.9371116841925836,6,,,time1,TIME1,0.9613727012792918,0.9232644624714503,1.0,7
