<<<<<<< HEAD
﻿distancia_normalizada,frame,iou_associacao,logical_id,score_associacao,tempo_segundos,time_predito,time_referencia,tracker_id
0.0,1,1.0,14,1.0,0.04,2,2,-1
2.5121535145444795e-06,2,0.9994207010708988,14,0.9996225764423541,0.08,2,2,-1
1.3745286196353845e-05,2,0.9989294764033132,8,0.9992993488119848,0.08,2,2,2
2.1751829990535043e-05,2,0.9955741760615004,16,0.9971156012994786,0.08,2,2,1
1.6067771866801195e-05,2,0.9942334476433838,2,0.9962461172480461,0.08,1,1,3
0.13087783753871918,2,0.0,3,0.30419275686144825,0.08,1,1,4
0.24037030339241028,2,0.0,1,0.26587039381265637,0.08,1,1,0
0.0007299467106349766,3,0.9498473122717065,1,0.967145271627887,0.12,1,1,0
0.00030197540763765574,3,0.925382798151284,16,0.9513931274056615,0.12,2,2,1
0.0006604152731597424,3,0.9178913830057207,10,0.9463982536081126,0.12,2,2,-1
0.0015937796561047435,3,0.7731834565646374,2,0.8520114238873776,0.12,1,1,3
0.002895181067287922,3,0.7560147831479757,3,0.8403962956726334,0.12,1,1,4
0.004730650689452887,3,0.6365969133745241,8,0.7621322659521321,0.12,2,2,2
0.0009526035282760859,4,0.9473899397491562,1,0.965470049602055,0.16,1,1,0
0.0004525488766375929,4,0.9354708715657842,16,0.9578976744109367,0.16,2,2,1
0.00021474011009559035,4,0.9307431561117332,10,0.954907892434093,0.16,2,2,-1
0.0009177499450743198,4,0.8516385697127256,2,0.9032438578324956,0.16,1,1,3
0.0019662061240524054,4,0.8294364215476703,3,0.8884455018625673,0.16,1,1,4
0.0028302723076194525,4,0.7194249109216816,8,0.8166355967914263,0.16,2,2,2
0.0005040063988417387,5,0.9494099064151266,1,0.9669400369302377,0.2,1,1,0
0.000960307486820966,5,0.9019377269081179,16,0.9359234148698894,0.2,2,2,1
0.0009951002430170774,5,0.8472285718115721,2,0.900350286592466,0.2,1,1,3
0.0007064496749080718,5,0.8254349966106662,10,0.8862854904107151,0.2,2,2,-1
0.003763727378100157,5,0.6122727154488097,8,0.7466599604593913,0.2,2,2,2
0.005964932031929493,5,0.5917776035834724,3,0.7325677161180817,0.2,2,1,4
0.042331207543611526,5,0.0,0,0.33518407735973593,0.2,1,1,5
0.0008329820120707154,6,0.9502414895347173,1,0.9673654244933416,0.24,1,1,0
0.000702529854606837,6,0.9247813768419453,16,0.950862009498152,0.24,2,2,1
0.001237196265719831,6,0.877129702378549,3,0.9197012878530549,0.24,2,1,4
0.001056881621479988,6,0.8362472294573519,10,0.8931907905797607,0.24,2,2,-1
0.0012773234630003572,6,0.8149762530615209,2,0.8792875012779384,0.24,1,1,3
0.0025397820863872766,6,0.7134041065918063,0,0.8128237455544386,0.24,1,1,5
0.0031556205358356237,6,0.6274337651062705,8,0.7567274801315333,0.24,2,2,2
0.0002921558334492147,7,0.9665639274851867,2,0.9781642983236641,0.28,1,1,3
0.0001916751207318157,7,0.960645401001067,16,0.9743524243584374,0.28,2,2,1
0.0007387922960333526,7,0.9444727570252384,1,0.9636487147627932,0.28,1,1,0
0.000566442497074604,7,0.8935157551642563,10,0.9305869859827904,0.28,2,2,-1
0.0029386552050709724,7,0.6679969906966133,0,0.7831695146310238,0.28,1,1,5
0.004001412075012922,7,0.632332147092801,3,0.7596154013840661,0.28,2,1,4
0.003294419264420867,7,0.619756537933038,8,0.7516887029139274,0.28,2,2,2
0.00047875894233584404,8,0.9452067391659252,10,0.9642168148280338,0.32,2,2,-1
0.0004498321795836091,8,0.9433769658140411,16,0.9630375865162724,0.32,2,2,1
0.0008878095541149378,8,0.9428113095902902,1,0.9625166178897484,0.32,1,1,0
0.0008052621269598603,8,0.8788660092034761,2,0.9209810642378236,0.32,1,1,3
0.0014001635136082768,8,0.7822920005581808,3,0.8579997431330546,0.32,2,1,4
0.002072051400318742,8,0.7336466571774243,0,0.8261451091752142,0.32,1,1,5
0.003950838465243578,8,0.5831698356060728,8,0.727677599681112,0.32,2,2,2
0.003786253510043025,8,0.5557990239254903,7,0.7099441768230537,0.32,1,1,6
5.9013742429669946e-05,9,0.9749958296737012,16,0.9837266344780554,0.36,2,2,1
0.0006466780905611813,9,0.9602070964723053,1,0.973908275375302,0.36,1,1,0
0.0003548473468981683,9,0.9318430759818774,10,0.9555738028168059,0.36,2,2,-1
0.0010336731793358922,9,0.8573889432947398,7,0.9069410275288133,0.36,1,1,6
0.0010899133048951626,9,0.8429805170565662,2,0.8975558664300547,0.36,1,1,3
0.001902461051940918,9,0.8271907239298838,3,0.8870081091862452,0.36,2,1,4
0.002053329488262534,9,0.7162705390998477,0,0.8148571850940092,0.36,1,1,5
0.003536876756697893,9,0.6333853431441113,8,0.760462566178828,0.36,2,2,2
0.008376979269087315,9,0.18215802060618033,9,0.4654707706498366,0.36,2,2,7
0.0004101441882085055,10,0.9705106909796886,1,0.9806883986709246,0.4,1,1,0
0.0002906789304688573,10,0.9631017435103959,10,0.9759143956560932,0.4,2,2,-1
0.0011219329899176955,10,0.9011883174267306,16,0.9353797297809037,0.4,2,2,1
0.0007977369823493063,10,0.8856507141843403,7,0.9253937562759988,0.4,1,1,6
0.001229534507729113,10,0.8073975257667031,2,0.8743780546706519,0.4,1,1,3
0.0013828282244503498,10,0.7918710695433916,9,0.864232205324647,0.4,2,2,7
0.0029804082587361336,10,0.7535211787069517,3,0.838745623268961,0.4,2,1,4
0.0022174736950546503,10,0.7060805828673605,0,0.8081762630705152,0.4,1,1,5
0.0026796336751431227,10,0.7062604237345474,8,0.8081314036411558,0.4,2,2,2
0.0004648780741263181,11,0.9704052886512535,1,0.9806007302973705,0.44,1,1,0
0.0003236855554860085,11,0.9522591645189353,7,0.9688551669928878,0.44,1,1,6
0.00032769294921308756,11,0.9307993812829368,16,0.9549049053016843,0.44,2,2,1
0.00021798706438858062,11,0.8999538153883765,10,0.9348936845299087,0.44,2,2,-1
0.0010231778724119067,11,0.8398837663322334,9,0.8955663358606076,0.44,2,2,7
0.0009214087622240186,11,0.7713738040564263,15,0.8510704795698987,0.44,2,2,8
0.00146963179577142,11,0.7613134591260948,2,0.8443393773034417,0.44,1,1,3
0.0022053185384720564,11,0.7159657708816258,0,0.8146058895845916,0.44,1,1,5
0.003663773648440838,11,0.7145291924391333,3,0.8131616543084823,0.44,2,1,4
0.0025304772425442934,11,0.6748815057577237,8,0.7877873117076298,0.44,2,2,2
0.0005254842690192163,12,0.9642519834014992,1,0.9765798697168178,0.48,1,1,0
0.000257524021435529,12,0.9452082716669061,7,0.9642952431759866,0.48,1,1,6
0.00026637857081368566,12,0.9410575818122817,10,0.9615941956781984,0.48,2,2,-1
0.0006623969529755414,12,0.9314606983953722,16,0.9552176150234504,0.48,2,2,1
0.0005196740967221558,12,0.9270711215394942,15,0.9524143430668184,0.48,2,2,8
0.0011179581051692367,12,0.8273936190449338,2,0.8874145670423977,0.48,1,1,3
0.0016168974107131362,12,0.7694635355495417,9,0.8495853840134525,0.48,2,2,7
0.0021231230348348618,12,0.7056563708157142,0,0.807933547968022,0.48,1,1,5
0.003038174705579877,12,0.6295995211598054,8,0.7581763276069207,0.48,2,2,2
0.0061764405108988285,12,0.5395556000208322,3,0.6985493858347264,0.48,2,1,4
0.0003321143740322441,13,0.9716974142605559,1,0.98148707923845,0.52,1,1,0
0.00036879756953567266,13,0.938761942723671,9,0.9600661836210487,0.52,2,2,7
0.0008342768996953964,13,0.9351974568790095,16,0.9575863500564628,0.52,2,2,1
0.00042893760837614536,13,0.9329621611642724,15,0.9562752765938454,0.52,2,2,8
0.0016539475182071328,13,0.877804237043908,7,0.9199938724471677,0.52,1,1,6
0.0012145995860919356,13,0.8173662347058053,2,0.8808629427036412,0.52,1,1,3
0.0011390226427465677,13,0.8004575560027171,10,0.8698987534768048,0.52,2,2,-1
0.0014070029137656093,13,0.7974167966209961,0,0.8678284667838294,0.52,1,1,5
0.0030432203784585,13,0.7279865373284422,3,0.822126122131027,0.52,2,1,4
0.0033966319169849157,13,0.6091774460885565,8,0.744776518786617,0.52,2,2,2
0.00030551961390301585,14,0.978860880217731,1,0.9861526402766592,0.56,1,1,0
6.795433000661433e-05,14,0.9703016108716336,10,0.9806722630510595,0.56,2,2,-1
0.0005046269507147372,14,0.9467340866821248,16,0.9652005369106309,0.56,2,2,1
0.0006763439159840345,14,0.925026516833246,15,0.9510305155710155,0.56,2,2,8
0.0006433524540625513,14,0.8974177882651267,2,0.9330963890134105,0.56,1,1,3
0.0010217403760179877,14,0.8387478082368035,7,0.8948284662223159,0.56,1,1,6
0.002009207848459482,14,0.8341455465530623,3,0.8914913825125297,0.56,2,1,4
0.0008877482614479959,14,0.8328042678739149,9,0.891012062226538,0.56,2,2,7
0.0020368946716189384,14,0.7528795142997727,0,0.8386587711597857,0.56,1,1,5
0.0033792019821703434,14,0.6153528151204766,8,0.7487966091345502,0.56,2,2,2
0.0037884176708757877,14,0.49774029987862506,13,0.6722052487362997,0.56,2,2,9
0.00010928976553259417,15,0.968329126236671,10,0.9793756806358997,0.6,2,2,-1
0.00044431991409510374,15,0.9665512120810307,1,0.9781027758827365,0.6,1,1,0
0.0002505950687918812,15,0.958354708223988,16,0.9728428520715151,0.6,2,2,1
0.0004631623160094023,15,0.9451938015636021,13,0.9642138642057381,0.6,2,2,9
0.0006410428904928267,15,0.9207163372537653,15,0.948241254203275,0.6,2,2,8
0.0007247925386764109,15,0.9095451747834684,7,0.9409506862207176,0.6,1,1,6
0.0008928901515901089,15,0.8774303465776283,2,0.9200172137224019,0.6,1,1,3
0.0007416372536681592,15,0.8719276692444856,9,0.9164934119701318,0.6,2,2,7
0.0019025522051379085,15,0.78984391923722,0,0.8627326542323948,0.6,1,1,5
0.0037218674551695585,15,0.7358561126093198,3,0.8270038195867485,0.6,2,1,4
0.0029961811378598213,15,0.6854757983852868,8,0.7945106055521856,0.6,2,2,2
0.00030311752925626934,16,0.9790275531682123,1,0.9862618184240983,0.64,1,1,0
0.0004404491337481886,16,0.9417096730384834,2,0.9619571302782023,0.64,1,1,3
0.000636416079942137,16,0.9125810629709646,16,0.9429549453031473,0.64,2,2,1
0.0008141882717609406,16,0.8945638325808234,10,0.9311815252824189,0.64,2,2,-1
0.0009295276831835508,16,0.8899994283143474,7,0.9281742937152117,0.64,1,1,6
0.000719935807865113,16,0.8867674654294542,9,0.9261468749963924,0.64,2,2,7
0.0002353845484321937,16,0.871257495219042,13,0.9162349873004261,0.64,2,2,9
0.0005099345580674708,16,0.8418055346690795,15,0.8969951204395781,0.64,2,2,8
0.0023437985219061375,16,0.7532633334146545,8,0.8388008372368583,0.64,2,2,2
0.004336157813668251,16,0.7011493209173032,3,0.8042294033614632,0.64,2,1,4
0.0028847940266132355,16,0.6915421266992845,0,0.7984927044452204,0.64,1,1,5
0.0002332856529392302,17,0.9844722828268193,1,0.9898253338589038,0.68,1,1,0
0.0001876919122878462,17,0.9725890554225758,10,0.9821171938553735,0.68,2,2,-1
6.633371231146157e-05,17,0.9326201339543152,13,0.9561798702709958,0.68,2,2,9
0.000650065194349736,17,0.8950872087088115,9,0.931579162842705,0.68,2,2,7
0.0008785233949311078,17,0.8897874287715908,16,0.9280543455133081,0.68,2,2,1
0.0005965804448351264,17,0.8530586605657016,15,0.9042793262120138,0.68,2,2,8
0.0008761277422308922,17,0.8489588926211605,7,0.9015166354939735,0.68,1,1,6
0.0008829057915136218,17,0.8453332322645774,2,0.8991575839449455,0.68,1,1,3
0.001974577782675624,17,0.7727587235755792,8,0.8516020681001899,0.68,2,2,2
0.002596241654828191,17,0.7210258261377798,0,0.8177581024103671,0.68,1,1,5
0.0044140079990029335,17,0.6880138264986632,3,0.79566408442448,0.68,2,1,4
0.0006329062161967158,18,0.9617446523349139,1,0.9749125068420251,0.72,1,1,0
0.0004067450645379722,18,0.9178098648117518,10,0.9464340513550504,0.72,2,2,-1
