<<<<<<< HEAD
﻿cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,papel,presenca,primeiro_frame,rotulo,score_medio,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,False,0,,525,time0,,0,0,time0,0.9980988593155894,2,TIME0,0.9926992239450073,17.491047137948147,[0],0,0.0,526
1.0,False,0,,525,time0,,1,0,time0,0.9980988593155894,2,TIME0,0.9361444413969049,17.491047137948147,[3],0,0.0,526
0.9847619047619047,False,1,258.5,517,time0,0.033316280262758374,2,5,time0,0.9828897338403042,2,TIME0,0.9436407244899121,17.22451689584608,"[2, 8]",2,3.8684719535783367,526
0.9371428571428572,False,4,492.0,492,time0,16.39160988927712,3,12,time0,0.935361216730038,2,TIME0,0.9471766570407983,16.39160988927712,"[-1, 5]",1,2.032520325203252,526
0.9980952380952381,False,0,524.0,524,time0,17.45773085768539,4,1,time0,0.9961977186311787,2,TIME0,0.9628853190305711,17.45773085768539,"[7, 10]",1,1.9083969465648856,526
0.9219047619047619,False,3,484.0,484,time1,16.125079647175053,5,18,time1,0.9201520912547528,2,TIME1,0.9384741410522589,16.125079647175053,"[1, 12]",1,2.0661157024793386,526
0.9961904761904762,False,0,174.33333333333334,523,time1,2.3154814782617072,6,1,time1,0.9942965779467681,2,TIME1,0.9350054412097587,17.42441457742263,"[5, 6, 13]",3,5.736137667304015,526
0.9296577946768061,False,5,122.25,489,time1,3.7647396696916964,7,8,time1,0.9296577946768061,1,TIME1,0.9068334890486771,16.291661048488844,"[-1, 5, 9, 10, 13]",4,8.1799591002045,526
0.9561904761904761,False,2,251.0,502,time1,3.2983117460130793,8,13,time1,0.9543726235741445,2,TIME1,0.9268055477361381,16.724772691904704,"[4, 11, 12]",2,3.9840637450199203,526
0.9657142857142857,False,2,84.5,507,goleiro_time1,2.0855991444486746,9,8,goleiro1,0.9638783269961977,2,GOL-TIME1,0.9430237479772225,16.891354093218496,"[-1, 6, 8, 10, 16, 17]",6,11.834319526627219,526
0.9630350194552529,True,1,495.0,495,excluido,16.491558730065396,10,17,excluir,0.94106463878327,13,EXCLUÍDO,0.9449265941760474,16.491558730065396,"[-1, 7]",1,2.0202020202020203,526
=======
﻿cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,papel,presenca,primeiro_frame,rotulo,score_medio,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,False,0,,525,time0,,0,0,time0,0.9980988593155894,2,TIME0,0.9926992239450073,17.491047137948147,[0],0,0.0,526
1.0,False,0,,525,time0,,1,0,time0,0.9980988593155894,2,TIME0,0.9361444413969049,17.491047137948147,[3],0,0.0,526
0.9847619047619047,False,1,258.5,517,time0,0.033316280262758374,2,5,time0,0.9828897338403042,2,TIME0,0.9436407244899121,17.22451689584608,"[2, 8]",2,3.8684719535783367,526
0.9371428571428572,False,4,492.0,492,time0,16.39160988927712,3,12,time0,0.935361216730038,2,TIME0,0.9471766570407983,16.39160988927712,"[-1, 5]",1,2.032520325203252,526
0.9980952380952381,False,0,524.0,524,time0,17.45773085768539,4,1,time0,0.9961977186311787,2,TIME0,0.9628853190305711,17.45773085768539,"[7, 10]",1,1.9083969465648856,526
0.9219047619047619,False,3,484.0,484,time1,16.125079647175053,5,18,time1,0.9201520912547528,2,TIME1,0.9384741410522589,16.125079647175053,"[1, 12]",1,2.0661157024793386,526
0.9961904761904762,False,0,174.33333333333334,523,time1,2.3154814782617072,6,1,time1,0.9942965779467681,2,TIME1,0.9350054412097587,17.42441457742263,"[5, 6, 13]",3,5.736137667304015,526
0.9296577946768061,False,5,122.25,489,time1,3.7647396696916964,7,8,time1,0.9296577946768061,1,TIME1,0.9068334890486771,16.291661048488844,"[-1, 5, 9, 10, 13]",4,8.1799591002045,526
0.9561904761904761,False,2,251.0,502,time1,3.2983117460130793,8,13,time1,0.9543726235741445,2,TIME1,0.9268055477361381,16.724772691904704,"[4, 11, 12]",2,3.9840637450199203,526
0.9657142857142857,False,2,84.5,507,goleiro_time1,2.0855991444486746,9,8,goleiro1,0.9638783269961977,2,GOL-TIME1,0.9430237479772225,16.891354093218496,"[-1, 6, 8, 10, 16, 17]",6,11.834319526627219,526
0.9630350194552529,True,1,495.0,495,excluido,16.491558730065396,10,17,excluir,0.94106463878327,13,EXCLUÍDO,0.9449265941760474,16.491558730065396,"[-1, 7]",1,2.0202020202020203,526
>>>>>>> 4dc20829d235225851d5c4a93b2901c22a9453e9
