distancia,excluido,frame,grupo_metrica,iou,logical_id,margem_aparencia,novo_track,papel,rotulo,score,score_aparencia,score_papel,tracker_id
4.301227218013445e-07,False,2,time1,0.9998590483764301,18,,,time1,TIME1,0.6499570302267808,0.0,0.0,1
2.085925367511036e-06,False,2,time1,0.9997840890903621,12,,,time1,TIME1,0.6499319082094784,0.0,0.0,7
1.8577916083715144e-06,False,2,time0,0.9996957894986833,4,,,time0,TIME0,0.6499057812720462,0.0,0.0,4
3.684045436865282e-06,False,2,time0,0.9996573588250357,8,,,time0,TIME0,0.6498913466661339,0.0,0.0,10
1.8214877334047334e-06,False,2,time0,0.9996073423025928,5,,,time0,TIME0,0.6498793048693838,0.0,0.0,3
1.760189603487185e-06,False,2,time1,0.9994673311788334,13,,,time1,TIME1,0.6498373990520081,0.0,0.0,2
3.2751310930784067e-06,False,2,time0,0.9994743034584803,3,,,time0,TIME0,0.6498370806017142,0.0,0.0,9
1.971848764236388e-06,False,2,time0,0.9994373921043437,7,,,time0,TIME0,0.6498280805991782,0.0,0.0,6
3.0615837368094983e-06,False,2,time1,0.9993967470951701,16,,,time1,TIME1,0.6498141534271515,0.0,0.0,8
1.9489409838310725e-06,False,2,time1,0.9993694704847644,19,,,time1,TIME1,0.6498077405575005,0.0,0.0,5
4.510314300281271e-06,False,2,time1,0.9992630448641625,17,,,time1,TIME1,0.6497717379592256,0.0,0.0,12
4.139709662671531e-06,False,2,time0,0.9992599382609791,9,,,time0,TIME0,0.6497713955765576,0.0,0.0,11
5.037430000679041e-06,False,2,time0,0.998933606122964,0,,,time0,TIME0,0.6496720677437063,0.0,0.0,13
5.63039885827187e-06,False,2,time1,0.998753284728161,14,,,time1,TIME1,0.6496170279657193,0.0,0.0,14
1.2099937383072387e-05,False,2,time0,0.9980794544500848,1,,,time0,TIME0,0.6494045864346433,0.0,0.0,15
2.032676753022632e-05,False,2,time0,0.9968934081569307,6,,,time0,TIME0,0.6490356844078267,0.0,0.0,16
2.106770707832762e-05,False,2,time1,0.9964316710767983,11,,,time1,TIME1,0.648895984516324,0.0,0.0,17
3.0577903081480455e-05,False,2,time0,0.9964723218342497,2,,,time0,TIME0,0.6488930498862817,0.0,0.0,18
4.165251637007813e-05,False,2,time1,0.9961484520389547,15,,,time1,TIME1,0.648778270244734,0.0,0.0,19
4.380191174154727e-05,False,2,time1,0.9947609552078245,10,,,time1,TIME1,0.6483586017027585,0.0,0.0,20
0.00015778701579874493,False,3,time1,0.981156206772491,14,,,time1,TIME1,0.9840368296046104,0.9597636720251577,1.0,14
0.00034373474678382385,False,3,time1,0.9467979641830496,16,,,time1,TIME1,0.9740141727821391,0.9620946410876352,1.0,8
0.00034716560808391083,False,3,time1,0.9299441989242532,11,,,time1,TIME1,0.9725511066588307,0.976532062403366,1.0,17
0.00036554155013402193,False,3,time1,0.9474250626161603,18,,,time1,TIME1,0.9719265620332224,0.9531231940754992,1.0,1
0.00037392248409284963,False,3,time1,0.9536144075788797,19,,,time1,TIME1,0.971159071201933,0.9426749565507535,1.0,5
0.00038528972847510476,False,3,time1,0.9115135723602593,17,,,time1,TIME1,0.9639260410190231,0.9643387401199592,1.0,12
0.00040163423806820295,False,3,time0,0.9171177319047604,4,,,time0,TIME0,0.960386850595501,0.9435574269620752,1.0,4
0.0005951167681968388,False,3,time0,0.8839059944514825,3,,,time0,TIME0,0.9521283072018175,0.9516127842783648,1.0,9
0.0010880036102667637,False,3,time1,0.8313984761950806,15,,,time1,TIME1,0.9381350652929993,0.9617313368161011,1.0,19
0.0010225503526955202,False,3,time0,0.8234596665274803,9,,,time0,TIME0,0.9316096732789931,0.9448024234536739,1.0,11
0.0013206851647839795,False,3,time1,0.7978018891726399,13,,,time1,TIME1,0.9298896464578527,0.9706016199662855,1.0,2
0.0013558728142353009,False,3,time0,0.7770662008685246,1,,,time0,TIME0,0.9219844960245692,0.9640753787874184,1.0,15
0.0015343071483740498,False,3,time0,0.7474602859647518,7,,,time0,TIME0,0.9150448583411493,0.9729866364275821,1.0,6
0.0012252549460040863,False,3,time0,0.7400415102623177,8,,,time0,TIME0,0.9053660441292226,0.9412141466610234,1.0,10
0.002350234149844488,False,3,time0,0.6977163248544056,0,,,time0,TIME0,0.8977100765157117,0.9685499192779463,1.0,13
0.00298071281628423,False,3,time0,0.7017770116327613,2,,,time0,TIME0,0.8960658945297577,0.9611122668515385,1.0,18
0.0017758961712420467,False,3,time0,0.6884335667623583,6,,,time0,TIME0,0.8874324015785207,0.9348751706739048,1.0,16
0.0033025399443455832,False,3,time1,0.6393213838978505,10,,,time1,TIME1,0.8761431181742804,0.9583506339559664,1.0,20
0.004879924640870523,False,3,time1,0.6180513644076508,12,,,time1,TIME1,0.8584282986302741,0.923103216901122,1.0,7
0.0030253763531257034,False,3,time0,0.5823499687908297,5,,,time0,TIME0,0.7570358341003806,0.9485775593292268,0.0,3
0.00024193375949121788,False,4,time1,0.9597894659506082,14,,,time1,TIME1,0.9776002028817786,0.9597636720251577,1.0,14
0.00010328718202269945,False,4,time1,0.9558337837331978,17,,,time1,TIME1,0.9775449194418772,0.9643387401199592,1.0,12
0.00029759372088751973,False,4,time1,0.9561618889090792,18,,,time1,TIME1,0.9748059343772425,0.9531231940754992,1.0,1
0.0007215951994518885,False,4,time1,0.9350016710895173,11,,,time1,TIME1,0.9734134719024928,0.976532062403366,1.0,17
0.00022667532854627023,False,4,time0,0.9488184464012689,4,,,time0,TIME0,0.9700317793934117,0.9435574269620752,1.0,4
0.0004509569549040854,False,4,time1,0.9427550088020343,19,,,time1,TIME1,0.9680315980066144,0.9426749565507535,1.0,5
0.0006054408467544603,False,4,time0,0.8791253290766988,9,,,time0,TIME0,0.9489327291886517,0.9448024234536739,1.0,11
0.0010145149941351525,False,4,time1,0.8491619108795614,16,,,time1,TIME1,0.9438595106094142,0.9620946410876352,1.0,8
0.0010035918677133045,False,4,time0,0.8213477775320963,7,,,time0,TIME0,0.9381267559939651,0.9729866364275821,1.0,6
0.0011838046218168175,False,4,time1,0.7953770486400145,15,,,time1,TIME1,0.9276241100554499,0.9617313368161011,1.0,19
0.0009893570401898362,False,4,time0,0.8079629260201648,6,,,time0,TIME0,0.9243437881080887,0.9348751706739048,1.0,16
0.0015663252014835934,False,4,time0,0.7811884713934775,2,,,time0,TIME0,0.9221687518398842,0.9611122668515385,1.0,18
0.001528563431995639,False,4,time1,0.7698385624625791,13,,,time1,TIME1,0.9219769040477762,0.9706016199662855,1.0,2
0.0015363652322378494,False,4,time0,0.758778959327173,1,,,time0,TIME0,0.9168125745057636,0.9640753787874184,1.0,15
0.001921489262017357,False,4,time0,0.7504800066681244,3,,,time0,TIME0,0.9101559232425389,0.9516127842783648,1.0,9
0.0021747450531997225,False,4,time0,0.7320789791343273,0,,,time0,TIME0,0.9091256019712347,0.9685499192779463,1.0,13
0.0014424818232276991,False,4,time0,0.7396820133502271,8,,,time0,TIME0,0.9056386508608745,0.9412141466610234,1.0,10
0.002789994158797097,False,4,time1,0.7426006845322737,12,,,time1,TIME1,0.8995946796188935,0.923103216901122,1.0,7
0.0030677116663618935,False,4,time1,0.6672329756364122,10,,,time1,TIME1,0.8866140707816349,0.9583506339559664,1.0,20
0.0026331399422358957,False,4,time0,0.5794554322637516,5,,,time0,TIME0,0.7582816081552524,0.9485775593292268,0.0,3
0.00024322447224041388,False,5,time1,0.9464350471585444,19,,,time1,TIME1,0.9691200371316334,0.9426749565507535,1.0,5
0.00044222013672853816,False,5,time1,0.9330516719671519,18,,,time1,TIME1,0.9675545558240587,0.9531231940754992,1.0,1
0.0008026701317610896,False,5,time1,0.8999780181168167,11,,,time1,TIME1,0.963218880702947,0.976532062403366,1.0,17
0.0003240277766585142,False,5,time0,0.9241878631107392,4,,,time0,TIME0,0.9626810872481839,0.9435574269620752,1.0,4
0.0006073227337035428,False,5,time0,0.9000350650275535,7,,,time0,TIME0,0.9621554682220507,0.9729866364275821,1.0,6
0.0006998424024041744,False,5,time0,0.9194768331564049,9,,,time0,TIME0,0.9610497401866102,0.9448024234536739,1.0,11
0.0005295939193380259,False,5,time1,0.9048782289616083,14,,,time1,TIME1,0.9606800702206538,0.9597636720251577,1.0,14
0.0005423805878827619,False,5,time1,0.8831051271529986,17,,,time1,TIME1,0.955216009779907,0.9643387401199592,1.0,12
0.0012023828981003834,False,5,time1,0.8104357071027147,16,,,time1,TIME1,0.9320100928670235,0.9620946410876352,1.0,8
