distancia,excluido,frame,grupo_metrica,iou,logical_id,papel,rotulo,score,tracker_id
0.0,False,1,time1,1.0,5,time1,TIME1,1.0,1
0.0,False,1,time0,1.0,4,time0,TIME0,1.0,6
0.0,False,1,time0,1.0,3,time0,TIME0,1.0,8
0.0,False,1,goleiro_time1,1.0,9,goleiro1,GOL-TIME1,1.0,9
0.0,False,1,time1,1.0,8,time1,TIME1,1.0,10
0.0,False,1,time0,0.999999882346574,1,time0,TIME0,0.9999999235252731,5
0.0,False,1,time1,0.9999998152584341,6,time1,TIME1,0.9999998799179821,7
0.0,False,1,time1,0.9999995004658156,7,time1,TIME1,0.9999996753027802,4
0.0,False,1,time0,0.9999994540853162,0,time0,TIME0,0.9999996451554556,2
0.0,False,1,time0,0.999997834804223,2,time0,TIME0,0.9999985926227449,3
1.8658506044129238e-05,False,2,time0,0.9985182112343909,0,time0,TIME0,0.9990303068252386,2
0.0004046938415513737,False,2,time0,0.97895121033468,3,time0,TIME0,0.986176643872999,8
0.0001870799896215885,False,2,time0,0.9684463586437757,2,time0,TIME0,0.9794246551220867,3
0.0003157288160685057,False,2,time1,0.9528741547641797,6,time1,TIME1,0.9692576955110928,7
0.00048690694620073495,False,2,time1,0.9518786747308612,7,time1,TIME1,0.9685507211438895,4
0.000668459491551399,False,2,time0,0.9474120102589406,4,time0,TIME0,0.9655838458462684,6
0.00025659095093341134,False,2,goleiro_time1,0.9428841534123927,9,goleiro1,GOL-TIME1,0.9627848928852285,9
0.0011394299280517934,False,2,time1,0.9148738272656978,5,time1,TIME1,0.9442691872478854,1
0.0012999512158432852,False,2,time0,0.895298814865672,1,time0,TIME0,0.9314892467371416,5
0.0016405319445061007,False,2,time1,0.7616723319874612,8,time1,TIME1,0.8445128296112727,10
1.4018066588426488e-05,False,3,time0,0.9989411898294134,0,time0,TIME0,0.9993068670658127,2
0.00016716374084645548,False,3,time0,0.9833880018443879,2,time0,TIME0,0.9891436938895559,3
0.00024298493426652055,False,3,time0,0.9758174432413298,3,time0,TIME0,0.9841962933798711,8
0.00015636439126904688,False,3,goleiro_time1,0.9748395658717021,9,goleiro1,GOL-TIME1,0.9835909902796622,9
0.0003887521064165806,False,3,time0,0.9665039762150516,4,time0,TIME0,0.9780915213025377,6
0.0005557846660287099,False,3,time1,0.9533119593562503,7,time1,TIME1,0.9694582489484527,4
0.0004570322749853421,False,3,time1,0.9371116841925836,6,time1,TIME1,0.9589626334289345,7
0.001333003559994289,False,3,time1,0.9037598243064124,5,time1,TIME1,0.93697733455317,1
0.0014017625660686824,False,3,time0,0.8702450503794473,1,time0,TIME0,0.9151686658485167,5
0.0013219913881107803,False,3,time1,0.7958117912526135,8,time1,TIME1,0.86681496732836,10
2.2104293231218357e-05,False,4,time0,0.9984854300240902,0,time0,TIME0,0.9990077930130277,2
0.00029272957364948033,False,4,time0,0.9799028672046152,4,time0,TIME0,0.9868344083322225,6
0.000128724912323812,False,4,goleiro_time1,0.9787669208371673,9,goleiro1,GOL-TIME1,0.9861534448248455,9
0.0001427497627817841,False,4,time0,0.9787731525138833,2,time0,TIME0,0.9861525867170505,3
0.0005235421120207265,False,4,time0,0.9534822731922306,3,time0,TIME0,0.9695802378357425,8
0.0014581073603903458,False,4,time1,0.9278954159341039,7,time1,TIME1,0.9526216827810309,4
0.0007075818627060425,False,4,time1,0.9057445592965665,6,time1,TIME1,0.938486309890821,7
0.0016400412609912972,False,4,time1,0.8928138948490415,5,time1,TIME1,0.92975501721053,1
0.002206594431314434,False,4,time0,0.7980201617905093,1,time0,TIME0,0.867940797112871,5
2.0901011702979404e-05,False,5,time0,0.9985052447530859,0,time0,TIME0,0.9990210937354098,2
9.254356660785636e-05,False,5,goleiro_time1,0.9810719328636822,9,goleiro1,GOL-TIME1,0.9876643661130806,9
0.0003847189588357698,False,5,time0,0.9651468363312491,2,time0,TIME0,0.9772107919797195,3
0.0004336173061331016,False,5,time0,0.953291746203401,4,time0,TIME0,0.9694878689750641,6
0.0005874763679271259,False,5,time0,0.946968855460307,3,time0,TIME0,0.965324139320425,8
0.0012738167381189354,False,5,time1,0.918415850797226,7,time1,TIME1,0.9465244671598552,4
0.0019267903756422437,False,5,time1,0.8850178202555065,5,time1,TIME1,0.9245872065346044,1
