distancia_normalizada,frame,iou_associacao,logical_id,score_associacao,tempo_segundos,time_predito,time_referencia,tracker_id,x1,x2,y1,y2
0.0,1,1.0,15,1.0,0.04,2,2,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.0,1,1.0,10,1.0,0.04,2,2,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.0,1,1.0,16,1.0,0.04,2,2,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.0,1,1.0,5,1.0,0.04,1,1,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.16399970650672913,1,0.0,7,0.2926001027226448,0.04,1,1,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.0,1,1.0,14,1.0,0.04,2,2,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.039923690259456635,1,0.0,4,0.33602670840919013,0.04,1,1,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.0,1,1.0,11,1.0,0.04,2,2,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.0,1,1.0,12,1.0,0.04,2,2,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.0,1,1.0,3,1.0,0.04,1,1,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.0,1,1.0,13,1.0,0.04,2,2,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.0,1,1.0,6,1.0,0.04,1,1,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.0,1,1.0,0,1.0,0.04,1,1,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.07836487889289856,1,0.0,2,0.32257229238748547,0.04,1,1,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.23555298149585724,1,0.0,8,0.26755645647644993,0.04,2,2,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.09622877836227417,1,0.0,1,0.31631992757320404,0.04,1,1,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
0.0,1,1.0,9,1.0,0.04,2,2,-1,1189.6153564453125,1218.4910888671875,466.5702209472656,536.8262329101562
3.536163058015518e-05,2,0.9954931290943716,8,0.9970581573406384,0.08,2,2,0,377.0973815917969,464.4945373535156,1010.2882690429688,1078.517333984375
